Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-01 18:00:00-05:00,6051.5,6054.25,6051.25,6053.5,0,0.0,0.0
2024-12-01 18:01:00-05:00,6053.5,6054.5,6051.75,6052.25,775,0.0,0.0
2024-12-01 18:02:00-05:00,6052.25,6052.75,6051.75,6051.75,446,0.0,0.0
2024-12-01 18:03:00-05:00,6051.75,6052.5,6051.25,6051.75,447,0.0,0.0
2024-12-01 18:04:00-05:00,6051.5,6052.25,6051.0,6051.75,168,0.0,0.0
2024-12-01 18:05:00-05:00,6051.75,6051.75,6049.0,6049.75,641,0.0,0.0
2024-12-01 18:06:00-05:00,6050.0,6051.0,6050.0,6050.5,191,0.0,0.0
2024-12-01 18:07:00-05:00,6050.25,6050.5,6047.75,6047.75,502,0.0,0.0
2024-12-01 18:08:00-05:00,6048.0,6048.5,6046.25,6047.5,409,0.0,0.0
2024-12-01 18:09:00-05:00,6047.5,6048.5,6047.25,6048.0,203,0.0,0.0
2024-12-01 18:10:00-05:00,6048.0,6048.0,6045.75,6046.75,324,0.0,0.0
2024-12-01 18:11:00-05:00,6046.5,6047.5,6045.5,6046.5,218,0.0,0.0
2024-12-01 18:12:00-05:00,6046.75,6048.25,6046.5,6048.0,248,0.0,0.0
2024-12-01 18:13:00-05:00,6047.75,6049.0,6047.5,6049.0,169,0.0,0.0
2024-12-01 18:14:00-05:00,6049.0,6049.5,6048.75,6048.75,105,0.0,0.0
2024-12-01 18:15:00-05:00,6048.75,6050.0,6048.75,6050.0,163,0.0,0.0
2024-12-01 18:16:00-05:00,6049.75,6050.0,6049.0,6049.0,265,0.0,0.0
2024-12-01 18:17:00-05:00,6049.0,6049.0,6048.0,6048.25,212,0.0,0.0
2024-12-01 18:18:00-05:00,6048.25,6048.25,6047.25,6047.25,142,0.0,0.0
2024-12-01 18:19:00-05:00,6047.25,6048.0,6046.5,6046.75,153,0.0,0.0
2024-12-01 18:20:00-05:00,6046.75,6046.75,6046.0,6046.0,132,0.0,0.0
2024-12-01 18:21:00-05:00,6046.25,6046.5,6046.0,6046.0,115,0.0,0.0
2024-12-01 18:22:00-05:00,6046.0,6047.25,6046.0,6047.0,167,0.0,0.0
2024-12-01 18:23:00-05:00,6047.0,6047.5,6046.75,6046.75,110,0.0,0.0
2024-12-01 18:24:00-05:00,6046.75,6047.5,6046.25,6047.25,98,0.0,0.0
2024-12-01 18:25:00-05:00,6047.5,6047.5,6047.0,6047.25,96,0.0,0.0
2024-12-01 18:26:00-05:00,6047.5,6048.25,6047.5,6047.75,140,0.0,0.0
2024-12-01 18:27:00-05:00,6047.75,6047.75,6047.25,6047.5,92,0.0,0.0
2024-12-01 18:28:00-05:00,6047.25,6047.75,6047.25,6047.5,50,0.0,0.0
2024-12-01 18:29:00-05:00,6047.5,6047.5,6047.0,6047.25,76,0.0,0.0
2024-12-01 18:30:00-05:00,6047.25,6047.25,6045.75,6046.5,306,0.0,0.0
