Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-02 09:30:00-05:00,6040.10986328125,6045.330078125,6040.10986328125,6045.330078125,0,0.0,0.0
2024-12-02 09:31:00-05:00,6045.5,6045.9501953125,6043.990234375,6044.27001953125,15719584,0.0,0.0
2024-12-02 09:32:00-05:00,6043.43994140625,6045.83984375,6043.0400390625,6044.330078125,14804546,0.0,0.0
2024-12-02 09:33:00-05:00,6044.35009765625,6046.83984375,6043.2900390625,6046.759765625,11716562,0.0,0.0
2024-12-02 09:34:00-05:00,6046.81982421875,6047.3798828125,6045.27978515625,6045.919921875,10682168,0.0,0.0
2024-12-02 09:35:00-05:00,6045.64990234375,6045.7001953125,6044.08984375,6045.0498046875,11518724,0.0,0.0
2024-12-02 09:36:00-05:00,6044.91015625,6045.830078125,6043.6298828125,6044.5400390625,9842042,0.0,0.0
2024-12-02 09:37:00-05:00,6044.1298828125,6044.43994140625,6041.5498046875,6042.669921875,9552980,0.0,0.0
2024-12-02 09:38:00-05:00,6042.85009765625,6043.16015625,6041.7900390625,6043.16015625,9095370,0.0,0.0
2024-12-02 09:39:00-05:00,6043.10986328125,6043.10986328125,6039.81982421875,6040.91015625,8672215,0.0,0.0
2024-12-02 09:40:00-05:00,6040.91015625,6043.2900390625,6040.91015625,6043.2900390625,10143451,0.0,0.0
2024-12-02 09:41:00-05:00,6043.330078125,6043.330078125,6041.7099609375,6042.2900390625,9495295,0.0,0.0
2024-12-02 09:42:00-05:00,6041.77978515625,6042.3701171875,6039.06982421875,6040.60986328125,9505795,0.0,0.0
2024-12-02 09:43:00-05:00,6040.75,6040.8798828125,6039.14990234375,6039.81005859375,7482164,0.0,0.0
2024-12-02 09:44:00-05:00,6039.830078125,6040.1298828125,6037.64013671875,6039.6201171875,6953912,0.0,0.0
2024-12-02 09:45:00-05:00,6039.56005859375,6041.7099609375,6039.10986328125,6041.6298828125,7707700,0.0,0.0
2024-12-02 09:46:00-05:00,6041.60986328125,6042.33984375,6041.06982421875,6042.330078125,8039685,0.0,0.0
2024-12-02 09:47:00-05:00,6042.33984375,6042.33984375,6040.169921875,6040.169921875,7372691,0.0,0.0
2024-12-02 09:48:00-05:00,6040.0400390625,6042.31982421875,6040.0400390625,6041.8701171875,8344382,0.0,0.0
2024-12-02 09:49:00-05:00,6041.83984375,6043.6298828125,6041.16015625,6043.16015625,8992395,0.0,0.0
2024-12-02 09:50:00-05:00,6043.2099609375,6043.97998046875,6041.27001953125,6041.27001953125,8217837,0.0,0.0
2024-12-02 09:51:00-05:00,6041.27978515625,6041.5400390625,6039.490234375,6040.22998046875,7318497,0.0,0.0
2024-12-02 09:52:00-05:00,6040.18017578125,6040.52001953125,6039.06005859375,6040.2099609375,7048863,0.0,0.0
2024-12-02 09:53:00-05:00,6040.1201171875,6040.47021484375,6039.10986328125,6040.41015625,7173912,0.0,0.0
2024-12-02 09:54:00-05:00,6040.4501953125,6040.93994140625,6039.72021484375,6040.3701171875,6754125,0.0,0.0
